"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000077984",51.3373474850111,2.54050344725732,0.749100632169106,3.39140475679616,0.000695353264938537,0.0160377283457781
"ENSG00000117868",236.486543158926,2.12640085632491,0.627682737291593,3.3877000752007,0.000704812906099704,0.0160708802963189
"ENSG00000102081",108.145740426659,1.73242636659661,0.511239523748589,3.38867846893732,0.000702303093782427,0.0160708802963189
"ENSG00000135426",150.017741651681,1.45978373876594,0.430799779716206,3.3885433732756,0.000702649151328655,0.0160708802963189
"ENSG00000123200",373.803680119153,1.97870040731463,0.583924379329386,3.38862441329662,0.000702441542298608,0.0160708802963189
"ENSG00000229809",43.5212312694823,2.00286045158178,0.59080647415443,3.39004486104913,0.000698811870221789,0.0160708802963189
"ENSG00000101109",343.689589099664,1.89254267849423,0.558611301532529,3.38794197915815,0.000704191590557046,0.0160708802963189
"ENSG00000105639",291.134420305049,1.75022001211755,0.516305091206687,3.38989493213598,0.000699194159370341,0.0160708802963189
"ENSG00000174579",94.5633961190108,1.72298017199847,0.508928365376678,3.38550627006853,0.000710470864048428,0.0161270975007834
"ENSG00000165525",116.597546019773,1.6382822416722,0.483924787667775,3.38540674795297,0.000710728535654577,0.0161270975007834
"ENSG00000173757",195.203240802527,1.78009749970155,0.525760550256356,3.38575706913268,0.000709821907910731,0.0161270975007834
"ENSG00000170571",124.566437274653,2.06643203541183,0.610490124456628,3.38487381307123,0.000712109829536334,0.0161323362513538
"ENSG00000162607",50.1220050425435,1.67996774345453,0.497053580274993,3.37985241455277,0.000725247625477349,0.0162462419362122
"ENSG00000247627",36.4860176807359,1.47231047643314,0.435468974158434,3.38097674875336,0.000722286545253061,0.0162462419362122
"ENSG00000196262",189.050964317144,1.89074522520773,0.559293296814587,3.38059697117116,0.000723285480405557,0.0162462419362122
"ENSG00000064726",43.5167441315816,1.83894496955775,0.544053604629888,3.38008048087238,0.000724646072975024,0.0162462419362122
"ENSG00000243716",49.7207587059686,1.74875367724839,0.517166214213536,3.38141516051615,0.00072113497752529,0.0162462419362122
"ENSG00000171940",78.3969680178436,1.82554922844308,0.539786022021868,3.38198685028033,0.000719635893280159,0.0162462419362122
"ENSG00000099821",123.958139180107,1.79591862020967,0.531045568191088,3.38185407765881,0.000719983791155212,0.0162462419362122
"ENSG00000133606",153.361158019195,1.94963123785674,0.576915855208855,3.37940311442981,0.000726434066289793,0.0162468658876902
"ENSG00000105939",261.982456763182,1.83975799733916,0.544495511504452,3.37883041910828,0.000727948963484275,0.0162548221575478
"ENSG00000131378",133.209126141116,1.72619674478579,0.511507230766181,3.37472598813539,0.000738892213456245,0.0163527760147254
"ENSG00000204304",126.320265262189,1.54700562546881,0.458343193533916,3.37521238952212,0.00073758743348954,0.0163527760147254
"ENSG00000198286",270.659277703239,1.84884177558905,0.547876068287055,3.37456202708305,0.000739332524662049,0.0163527760147254
"ENSG00000188186",58.3063696599695,1.81703549895318,0.538442260193919,3.37461531771072,0.000739189387971965,0.0163527760147254
"ENSG00000171681",213.891115592018,1.89355527131336,0.56087315372279,3.37608469712788,0.000735252812517112,0.0163527760147254
"ENSG00000134900",136.617272975848,1.40496676164715,0.41611630250538,3.37638000046629,0.000734464026858814,0.0163527760147254
"ENSG00000182872",96.0452612915628,1.50345822161488,0.445815109358309,3.37238059019332,0.000745213928214474,0.0164569053785064
"ENSG00000164543",82.6759512899222,1.85439192322448,0.550469319921189,3.36874709655021,0.000755106794657723,0.0166348802319018
"ENSG00000165240",123.582007470994,0.868532366421749,0.257838843991121,3.36850861172671,0.000755760360196051,0.0166348802319018
"ENSG00000184384",84.2939009852391,1.63973982486611,0.486903980182485,3.36768622070323,0.000758018146486859,0.0166348802319018
"ENSG00000051108",65.2882326384305,1.85878911882009,0.551891814024431,3.36803168951841,0.000757068937126174,0.0166348802319018
"ENSG00000156860",272.24033321159,1.81788270068426,0.540021589597094,3.36631485796813,0.000761797010213373,0.0166656466056507
"ENSG00000158545",285.236782384016,1.84941879591076,0.549366116202416,3.36645952738253,0.000761397542154733,0.0166656466056507
"ENSG00000149923",153.009578166973,2.14889829029919,0.63862886772598,3.36486244029486,0.000765818292728165,0.0167015084275693
"ENSG00000141002",291.060173327377,2.00730648913804,0.596477136725499,3.36526979082153,0.000764688484625838,0.0167015084275693
"ENSG00000170144",183.033215547969,2.04892674985564,0.609539301010757,3.36143501568815,0.00077538599830859,0.0168316375453272
"ENSG00000085224",250.199836883165,1.84282376126241,0.548194205073756,3.36162576000684,0.000774850630205528,0.0168316375453272
"ENSG00000171988",217.249305564705,1.77184169578541,0.527086095846974,3.36157927470699,0.000774981070331311,0.0168316375453272
"ENSG00000113384",55.429568392845,2.24659644198575,0.669106028333518,3.35760902884277,0.000786197305233764,0.0169874342238722
"ENSG00000112511",71.3733084025312,0.953053636728366,0.283836866703509,3.3577514006449,0.000785792503385705,0.0169874342238722
"ENSG00000215252",89.3413054053145,1.8781615639426,0.559274470539506,3.35821079430075,0.000784487640857646,0.0169874342238722
"ENSG00000115935",275.212047729722,1.8558981910179,0.553114976973693,3.35535696605476,0.000792626334970758,0.0170999986081461
"ENSG00000124795",172.123468979814,2.11577904286321,0.630845861954687,3.35387639114796,0.000796879522869518,0.0171022128566401
"ENSG00000112081",122.465117047436,1.79798233454132,0.536046302383829,3.35415490517439,0.000796077832951087,0.0171022128566401
"ENSG00000169895",55.8405644548528,1.67222891725202,0.498633426815772,3.35362377915721,0.00079760730287689,0.0171022128566401
"ENSG00000049768",49.1489943196375,1.85776054584658,0.553871362968501,3.35413720595668,0.00079612875706118,0.0171022128566401
"ENSG00000111885",80.482450111251,1.88900448178906,0.56339077355605,3.35292051352901,0.000799636675078001,0.0171195497627768
"ENSG00000117228",88.295116739411,1.73277313202532,0.517366558075699,3.34921750348577,0.000810401501810349,0.0171665562838165
"ENSG00000226067",39.0977805966299,2.15882655626406,0.644496025237046,3.34963517497263,0.000809180617393917,0.0171665562838165
